order_number,method,status,amount,provider_reference,paid_at
ORD000001,wallet,captured,4836.78,PR-ORD000001,2025-02-06T00:58:36+00:00
ORD000004,wallet,captured,2790.66,PR-ORD000004,2025-11-17T07:15:34+00:00
ORD000005,bank_transfer,captured,8773.52,PR-ORD000005,2025-07-19T09:51:07+00:00
ORD000006,cash,captured,10230.53,PR-ORD000006,2026-07-18T19:05:18+00:00
ORD000007,card,captured,13698.10,PR-ORD000007,2025-12-21T05:22:57+00:00
ORD000009,card,refunded,6590.55,PR-ORD000009,2025-05-02T16:24:15+00:00
ORD000011,bank_transfer,captured,870.80,PR-ORD000011,2025-05-26T20:14:36+00:00
ORD000012,wire,captured,9712.97,PR-ORD000012,2025-01-08T09:03:25+00:00
ORD000013,wallet,refunded,8500.78,PR-ORD000013,2026-05-14T07:40:34+00:00
ORD000014,wallet,captured,1780.85,PR-ORD000014,2026-07-08T08:35:50+00:00
ORD000015,card,captured,7629.67,PR-ORD000015,2025-01-19T03:30:55+00:00
ORD000016,bank_transfer,captured,9463.30,PR-ORD000016,2026-02-10T22:15:40+00:00
ORD000017,cash,captured,7478.69,PR-ORD000017,2025-03-08T07:51:27+00:00
ORD000018,wire,captured,1980.51,PR-ORD000018,2026-01-20T17:47:57+00:00
ORD000019,cash,captured,10147.66,PR-ORD000019,2026-05-29T01:19:09+00:00
ORD000020,cash,captured,1257.53,PR-ORD000020,2026-02-19T14:27:43+00:00
ORD000021,wire,captured,1129.31,PR-ORD000021,2025-06-08T15:01:56+00:00
ORD000022,cash,authorized,5947.79,PR-ORD000022,2026-06-01T13:28:34+00:00
ORD000023,card,captured,4721.61,PR-ORD000023,2026-02-23T15:03:31+00:00
ORD000024,wire,authorized,4816.98,PR-ORD000024,2026-06-05T20:40:42+00:00
ORD000025,card,captured,965.10,PR-ORD000025,2025-05-18T14:51:49+00:00
ORD000026,card,captured,7411.73,PR-ORD000026,2025-05-26T23:59:09+00:00
ORD000027,wallet,authorized,5401.28,PR-ORD000027,2026-07-01T15:32:09+00:00
ORD000028,cash,captured,4007.96,PR-ORD000028,2026-07-29T09:17:19+00:00
ORD000029,bank_transfer,captured,9093.37,PR-ORD000029,2025-05-11T23:45:50+00:00
ORD000030,wire,pending,4914.80,PR-ORD000030,
ORD000031,card,refunded,8388.68,PR-ORD000031,2025-10-30T15:26:50+00:00
ORD000032,card,failed,11038.79,PR-ORD000032,2025-04-20T05:21:58+00:00
ORD000033,bank_transfer,captured,3566.45,PR-ORD000033,2025-01-25T14:01:45+00:00
ORD000034,bank_transfer,captured,8400.78,PR-ORD000034,2025-06-11T10:09:26+00:00
ORD000035,cash,failed,1360.90,PR-ORD000035,2026-01-12T23:29:07+00:00
ORD000036,cash,authorized,6128.18,PR-ORD000036,2025-03-26T17:37:12+00:00
ORD000037,wallet,captured,9053.89,PR-ORD000037,2025-08-30T20:53:21+00:00
ORD000038,card,captured,6073.03,PR-ORD000038,2026-01-08T04:52:32+00:00
ORD000039,cash,refunded,4715.44,PR-ORD000039,2025-11-25T00:47:58+00:00
ORD000040,wire,refunded,12015.96,PR-ORD000040,2025-07-23T16:38:00+00:00
ORD000041,bank_transfer,captured,463.43,PR-ORD000041,2026-08-27T00:49:08+00:00
ORD000042,card,captured,5566.00,PR-ORD000042,2026-04-05T02:16:18+00:00
ORD000043,wallet,captured,5089.91,PR-ORD000043,2026-06-10T11:03:14+00:00
ORD000044,wallet,captured,2716.08,PR-ORD000044,2025-03-10T07:49:34+00:00
ORD000045,wallet,captured,5723.88,PR-ORD000045,2025-04-27T03:44:51+00:00
ORD000046,wire,captured,15.95,PR-ORD000046,2026-04-07T07:29:46+00:00
ORD000047,wire,pending,9390.18,PR-ORD000047,
ORD000048,cash,failed,3892.71,PR-ORD000048,2025-06-02T16:51:40+00:00
ORD000049,cash,pending,19134.99,PR-ORD000049,
ORD000050,card,captured,394.04,PR-ORD000050,2026-03-10T23:40:37+00:00
ORD000051,bank_transfer,captured,7327.44,PR-ORD000051,2025-05-30T04:48:16+00:00
ORD000053,card,captured,1432.68,PR-ORD000053,2026-07-13T22:07:43+00:00
ORD000054,wire,failed,577.52,PR-ORD000054,2026-08-30T13:25:56+00:00
ORD000055,cash,captured,7805.60,PR-ORD000055,2025-06-26T14:59:37+00:00
ORD000056,card,captured,9696.52,PR-ORD000056,2025-10-08T05:15:16+00:00
ORD000057,bank_transfer,captured,10455.57,PR-ORD000057,2025-05-28T08:04:05+00:00
ORD000059,card,captured,3537.46,PR-ORD000059,2026-03-26T18:37:45+00:00
ORD000060,cash,captured,5635.52,PR-ORD000060,2025-08-26T03:55:10+00:00
ORD000061,card,captured,4297.10,PR-ORD000061,2025-12-05T17:17:50+00:00
ORD000062,bank_transfer,failed,3345.85,PR-ORD000062,2026-05-20T22:05:34+00:00
ORD000063,cash,captured,9058.75,PR-ORD000063,2026-01-16T02:31:33+00:00
ORD000064,bank_transfer,captured,3095.72,PR-ORD000064,2026-02-25T00:51:34+00:00
ORD000066,card,captured,13341.38,PR-ORD000066,2025-12-13T17:13:23+00:00
ORD000068,card,captured,5523.05,PR-ORD000068,2025-12-15T03:19:29+00:00
ORD000069,card,captured,306.34,PR-ORD000069,2026-05-06T20:52:05+00:00
ORD000070,bank_transfer,captured,12095.16,PR-ORD000070,2025-10-19T20:13:51+00:00
ORD000071,wire,captured,3461.13,PR-ORD000071,2026-06-16T22:54:13+00:00
ORD000072,card,captured,3319.36,PR-ORD000072,2025-12-18T08:45:01+00:00
ORD000073,wallet,captured,6704.78,PR-ORD000073,2025-10-13T11:02:49+00:00
ORD000074,card,captured,4526.24,PR-ORD000074,2025-06-04T14:00:51+00:00
ORD000075,wire,captured,2573.96,PR-ORD000075,2025-12-11T12:48:38+00:00
ORD000076,cash,captured,5660.17,PR-ORD000076,2025-12-01T18:23:02+00:00
ORD000077,cash,captured,5224.83,PR-ORD000077,2025-10-24T19:02:28+00:00
ORD000078,bank_transfer,authorized,5290.19,PR-ORD000078,2025-05-12T19:09:00+00:00
ORD000079,wallet,authorized,7179.94,PR-ORD000079,2025-07-03T01:21:36+00:00
ORD000080,cash,captured,2799.45,PR-ORD000080,2025-04-16T19:16:14+00:00
ORD000081,wire,captured,1204.53,PR-ORD000081,2026-03-06T20:24:17+00:00
ORD000082,wire,captured,6650.33,PR-ORD000082,2025-11-25T17:00:37+00:00
ORD000083,cash,failed,2571.89,PR-ORD000083,2026-06-22T19:43:45+00:00
ORD000084,bank_transfer,captured,11221.48,PR-ORD000084,2026-01-15T17:18:39+00:00
ORD000085,wire,captured,228.71,PR-ORD000085,2025-03-01T01:35:23+00:00
ORD000086,wire,authorized,4886.89,PR-ORD000086,2025-09-30T00:44:29+00:00
ORD000087,wallet,pending,5229.53,PR-ORD000087,
ORD000089,card,captured,6000.21,PR-ORD000089,2026-06-26T03:02:28+00:00
ORD000090,cash,authorized,6872.02,PR-ORD000090,2026-04-03T18:51:01+00:00
