name,sku,category_slug,supplier_code,unit_cost,unit_price,is_active
Product 001,SKU000001,electronics/laptops,SUP004,1082.24,1774.87,true
Product 002,SKU000002,groceries,SUP008,190.47,299.04,false
Product 003,SKU000003,clothing,SUP010,770.19,1186.09,true
Product 004,SKU000004,beauty/personal-care,SUP005,355.43,494.05,true
Product 005,SKU000005,beauty/personal-care,SUP010,1030.24,1493.85,true
Product 006,SKU000006,home/kitchen,SUP004,612.41,759.39,true
Product 007,SKU000007,electronics/mobiles,SUP007,534.40,614.56,true
Product 008,SKU000008,electronics/laptops,SUP002,604.47,930.88,true
Product 009,SKU000009,groceries/produce,SUP007,71.73,101.86,true
Product 010,SKU000010,groceries/produce,SUP006,99.03,142.60,true
Product 011,SKU000011,beauty/wellness,SUP006,241.36,359.63,true
Product 012,SKU000012,electronics,SUP002,429.30,510.87,true
Product 013,SKU000013,home,SUP007,92.33,150.50,true
Product 014,SKU000014,clothing/women,SUP008,1052.93,1252.99,true
Product 015,SKU000015,home/furniture,SUP002,36.09,42.59,true
Product 016,SKU000016,groceries/beverages,SUP005,543.39,755.31,false
Product 017,SKU000017,electronics/audio,SUP006,1004.44,1627.19,true
Product 018,SKU000018,clothing,SUP002,106.85,133.56,true
Product 019,SKU000019,electronics/mobiles,SUP010,341.83,406.78,true
Product 020,SKU000020,beauty/wellness,SUP010,126.36,192.07,true
Product 021,SKU000021,clothing/kids,SUP002,617.22,796.21,true
Product 022,SKU000022,clothing/kids,SUP004,788.82,1191.12,true
Product 023,SKU000023,groceries/beverages,SUP002,860.67,1161.90,true
Product 024,SKU000024,groceries/produce,SUP003,555.59,744.49,true
Product 025,SKU000025,beauty/wellness,SUP001,687.74,907.82,true
Product 026,SKU000026,beauty/wellness,SUP001,780.47,1077.05,true
Product 027,SKU000027,home,SUP007,287.96,388.75,true
Product 028,SKU000028,groceries,SUP006,895.09,1324.73,true
Product 029,SKU000029,home/furniture,SUP004,540.03,842.45,true
Product 030,SKU000030,electronics/laptops,SUP004,765.63,1263.29,true
Product 031,SKU000031,home/furniture,SUP010,592.20,835.00,true
Product 032,SKU000032,electronics/audio,SUP005,433.31,515.64,true
Product 033,SKU000033,electronics/laptops,SUP005,459.88,533.46,true
Product 034,SKU000034,beauty,SUP008,913.49,1160.13,true
Product 035,SKU000035,beauty/wellness,SUP007,1166.09,1737.47,false
Product 036,SKU000036,groceries,SUP002,1069.55,1272.76,true
Product 037,SKU000037,clothing/kids,SUP005,98.54,151.75,true
Product 038,SKU000038,home/furniture,SUP004,219.34,278.56,true
Product 039,SKU000039,home,SUP005,830.97,1013.78,true
Product 040,SKU000040,beauty,SUP006,787.56,1173.46,true
Product 041,SKU000041,beauty/personal-care,SUP003,577.89,803.27,true
Product 042,SKU000042,electronics/laptops,SUP003,305.01,384.31,true
Product 043,SKU000043,groceries,SUP009,695.16,1091.40,true
Product 044,SKU000044,electronics,SUP003,757.80,1091.23,true
Product 045,SKU000045,beauty,SUP009,135.62,188.51,true
Product 046,SKU000046,beauty/personal-care,SUP009,524.73,792.34,true
Product 047,SKU000047,home/kitchen,SUP002,1008.76,1452.61,true
Product 048,SKU000048,home,SUP006,1009.43,1423.30,true
Product 049,SKU000049,home,SUP006,602.82,892.17,true
Product 050,SKU000050,home/furniture,SUP008,125.69,187.28,true
Product 051,SKU000051,beauty/wellness,SUP006,389.08,544.71,true
Product 052,SKU000052,groceries,SUP005,1067.58,1270.42,true
Product 053,SKU000053,groceries,SUP009,413.52,640.96,true
Product 054,SKU000054,clothing/women,SUP003,31.09,46.95,true
Product 055,SKU000055,clothing/men,SUP003,116.26,190.67,true
Product 056,SKU000056,groceries/beverages,SUP001,645.67,755.43,true
