order_number,product_sku,quantity,unit_price,line_discount,line_total
ORD000001,SKU000044,1,1091.23,87.30,1003.93
ORD000001,SKU000066,3,302.75,15.14,893.11
ORD000001,SKU000160,3,945.61,28.37,2808.46
ORD000002,SKU000150,2,1450.00,0.00,2900.00
ORD000002,SKU000132,2,1306.17,65.31,2547.03
ORD000002,SKU000159,2,1627.39,0.00,3254.78
ORD000003,SKU000184,2,1750.03,87.50,3412.56
ORD000004,SKU000024,3,744.49,37.22,2196.25
ORD000004,SKU000070,1,518.67,0.00,518.67
ORD000005,SKU000039,3,1013.78,30.41,3010.93
ORD000005,SKU000237,3,970.84,77.67,2834.85
ORD000005,SKU000009,4,101.86,3.06,404.38
ORD000005,SKU000093,2,1142.61,0.00,2285.22
ORD000006,SKU000235,3,407.80,0.00,1223.40
ORD000006,SKU000077,4,1147.07,0.00,4588.28
ORD000006,SKU000187,2,1236.11,37.08,2435.14
ORD000006,SKU000152,2,866.00,25.98,1706.02
ORD000007,SKU000221,4,789.98,0.00,3159.92
ORD000007,SKU000013,3,150.50,12.04,439.46
ORD000007,SKU000109,4,1497.93,44.94,5946.78
ORD000007,SKU000080,3,168.98,0.00,506.94
ORD000007,SKU000031,4,835.00,66.80,3273.20
ORD000008,SKU000232,3,864.16,69.13,2523.35
ORD000008,SKU000209,1,469.21,0.00,469.21
ORD000009,SKU000063,3,549.51,0.00,1648.53
ORD000009,SKU000008,1,930.88,74.47,856.41
ORD000009,SKU000168,1,548.18,16.45,531.73
ORD000009,SKU000145,1,236.50,7.10,229.40
ORD000009,SKU000046,4,792.34,23.77,3145.59
ORD000010,SKU000099,2,1131.42,0.00,2262.84
ORD000010,SKU000070,3,518.67,15.56,1540.45
ORD000010,SKU000102,2,331.24,0.00,662.48
ORD000010,SKU000117,3,1116.73,33.50,3316.69
ORD000010,SKU000209,2,469.21,0.00,938.42
ORD000011,SKU000204,1,891.76,44.59,847.17
ORD000012,SKU000043,3,1091.40,54.57,3219.63
ORD000012,SKU000175,4,1497.47,119.80,5870.08
ORD000012,SKU000011,1,359.63,0.00,359.63
ORD000013,SKU000174,3,193.35,0.00,580.05
ORD000013,SKU000067,2,41.76,2.09,81.43
ORD000013,SKU000129,4,312.97,0.00,1251.88
ORD000013,SKU000097,4,1547.72,123.82,6067.06
ORD000013,SKU000193,3,96.54,0.00,289.62
ORD000014,SKU000059,1,1823.70,91.18,1732.52
ORD000015,SKU000072,4,984.38,29.53,3907.99
ORD000015,SKU000106,3,1156.47,57.82,3411.59
ORD000015,SKU000084,1,111.96,8.96,103.00
ORD000016,SKU000052,2,1270.42,101.63,2439.21
ORD000016,SKU000141,4,760.13,0.00,3040.52
ORD000016,SKU000030,3,1263.29,63.16,3726.71
ORD000017,SKU000070,1,518.67,15.56,503.11
ORD000017,SKU000196,4,1705.94,51.18,6772.58
ORD000018,SKU000105,2,978.05,29.34,1926.76
ORD000019,SKU000239,4,1628.02,130.24,6381.84
ORD000019,SKU000158,4,883.64,44.18,3490.38
ORD000020,SKU000235,3,407.80,0.00,1223.40
ORD000021,SKU000128,1,1194.18,95.53,1098.65
ORD000022,SKU000141,3,760.13,0.00,2280.39
ORD000022,SKU000051,2,544.71,16.34,1073.08
ORD000022,SKU000031,2,835.00,0.00,1670.00
ORD000022,SKU000069,1,786.47,23.59,762.88
ORD000023,SKU000108,2,690.38,0.00,1380.76
ORD000023,SKU000054,2,46.95,2.35,91.55
ORD000023,SKU000021,4,796.21,63.70,3121.14
ORD000024,SKU000065,3,454.03,0.00,1362.09
ORD000024,SKU000109,2,1497.93,0.00,2995.86
ORD000024,SKU000199,2,166.64,5.00,328.28
ORD000025,SKU000129,3,312.97,0.00,938.91
ORD000026,SKU000081,3,1094.91,0.00,3284.73
ORD000026,SKU000226,3,863.90,25.92,2565.78
ORD000026,SKU000108,2,690.38,20.71,1360.05
ORD000027,SKU000166,3,718.17,0.00,2154.51
ORD000027,SKU000028,2,1324.73,0.00,2649.46
ORD000027,SKU000037,3,151.75,4.55,450.70
ORD000028,SKU000132,2,1306.17,65.31,2547.03
ORD000028,SKU000231,4,340.59,10.22,1352.14
ORD000029,SKU000074,2,410.55,0.00,821.10
ORD000029,SKU000151,3,332.71,16.64,981.49
ORD000029,SKU000142,3,1264.47,0.00,3793.41
ORD000029,SKU000014,2,1252.99,100.24,2405.74
ORD000029,SKU000118,1,844.81,0.00,844.81
ORD000030,SKU000079,2,62.21,4.98,119.44
ORD000030,SKU000092,1,593.82,47.51,546.31
ORD000030,SKU000065,3,454.03,0.00,1362.09
ORD000030,SKU000063,4,549.51,16.49,2181.55
ORD000030,SKU000055,3,190.67,0.00,572.01
ORD000031,SKU000101,4,1301.72,0.00,5206.88
ORD000031,SKU000013,4,150.50,12.04,589.96
ORD000031,SKU000076,3,788.05,0.00,2364.15
ORD000032,SKU000129,2,312.97,9.39,616.55
ORD000032,SKU000022,2,1191.12,0.00,2382.24
ORD000032,SKU000181,4,757.86,0.00,3031.44
ORD000032,SKU000127,4,1186.13,35.58,4708.94
ORD000033,SKU000022,2,1191.12,0.00,2382.24
ORD000033,SKU000227,1,1087.40,0.00,1087.40
ORD000034,SKU000003,4,1186.09,94.89,4649.47
ORD000034,SKU000206,3,1174.43,0.00,3523.29
ORD000035,SKU000085,1,1323.96,0.00,1323.96
ORD000036,SKU000026,2,1077.05,0.00,2154.10
ORD000036,SKU000034,3,1160.13,0.00,3480.39
ORD000036,SKU000213,1,344.58,17.23,327.35
ORD000037,SKU000200,4,349.91,0.00,1399.64
ORD000037,SKU000229,2,442.53,13.28,871.78
ORD000037,SKU000216,2,1356.98,0.00,2713.96
ORD000037,SKU000015,4,42.59,2.13,168.23
ORD000037,SKU000121,3,1218.18,0.00,3654.54
ORD000038,SKU000229,4,442.53,22.13,1747.99
ORD000038,SKU000174,4,193.35,0.00,773.40
ORD000038,SKU000112,3,898.53,26.96,2668.63
ORD000038,SKU000166,1,718.17,0.00,718.17
ORD000039,SKU000205,3,158.69,4.76,471.31
ORD000039,SKU000096,4,1036.81,31.10,4116.14
ORD000040,SKU000234,4,1026.73,0.00,4106.92
ORD000040,SKU000228,3,1037.80,51.89,3061.51
ORD000040,SKU000079,2,62.21,0.00,124.42
ORD000040,SKU000219,4,890.49,0.00,3561.96
ORD000040,SKU000031,1,835.00,0.00,835.00
ORD000041,SKU000180,3,152.83,7.64,450.85
ORD000042,SKU000112,1,898.53,71.88,826.65
ORD000042,SKU000077,4,1147.07,0.00,4588.28
ORD000043,SKU000101,2,1301.72,0.00,2603.44
ORD000043,SKU000203,1,401.86,0.00,401.86
ORD000043,SKU000039,2,1013.78,81.10,1946.46
ORD000044,SKU000133,2,1376.23,110.10,2642.36
ORD000045,SKU000130,3,104.47,0.00,313.41
ORD000045,SKU000052,4,1270.42,0.00,5081.68
ORD000045,SKU000045,1,188.51,15.08,173.43
ORD000046,SKU000086,1,16.87,1.35,15.52
ORD000047,SKU000182,3,687.88,34.39,2029.25
ORD000047,SKU000169,3,229.44,18.36,669.96
ORD000047,SKU000211,2,496.71,0.00,993.42
ORD000047,SKU000078,3,1553.99,46.62,4615.35
ORD000047,SKU000038,3,278.56,8.36,827.32
ORD000048,SKU000066,2,302.75,15.14,590.36
ORD000048,SKU000082,1,464.98,0.00,464.98
ORD000048,SKU000209,2,469.21,0.00,938.42
ORD000048,SKU000157,3,614.14,49.13,1793.29
ORD000049,SKU000146,4,1880.37,0.00,7521.48
ORD000049,SKU000239,2,1628.02,130.24,3125.80
ORD000049,SKU000080,2,168.98,8.45,329.51
ORD000049,SKU000047,4,1452.61,0.00,5810.44
ORD000049,SKU000149,1,1828.38,0.00,1828.38
ORD000050,SKU000083,3,129.95,6.50,383.35
ORD000051,SKU000119,4,1539.31,0.00,6157.24
ORD000051,SKU000129,2,312.97,15.65,610.29
ORD000051,SKU000094,1,28.32,0.00,28.32
ORD000051,SKU000151,1,332.71,0.00,332.71
ORD000052,SKU000004,1,494.05,39.52,454.53
ORD000052,SKU000173,4,133.76,0.00,535.04
ORD000052,SKU000105,3,978.05,0.00,2934.15
ORD000053,SKU000060,4,351.08,10.53,1393.79
ORD000054,SKU000050,3,187.28,0.00,561.84
ORD000055,SKU000125,4,1425.63,0.00,5702.52
ORD000055,SKU000160,2,945.61,0.00,1891.22
ORD000056,SKU000139,1,99.94,0.00,99.94
ORD000056,SKU000219,3,890.49,0.00,2671.47
ORD000056,SKU000149,3,1828.38,0.00,5485.14
ORD000056,SKU000122,2,588.39,0.00,1176.78
ORD000057,SKU000239,3,1628.02,0.00,4884.06
ORD000057,SKU000208,3,249.16,7.47,740.01
ORD000057,SKU000034,4,1160.13,92.81,4547.71
ORD000058,SKU000053,3,640.96,0.00,1922.88
ORD000058,SKU000124,1,300.12,0.00,300.12
ORD000058,SKU000218,3,272.52,0.00,817.56
ORD000058,SKU000240,3,706.34,21.19,2097.83
ORD000059,SKU000074,1,410.55,12.32,398.23
ORD000059,SKU000018,1,133.56,0.00,133.56
ORD000059,SKU000082,4,464.98,0.00,1859.92
ORD000059,SKU000200,3,349.91,0.00,1049.73
ORD000060,SKU000088,2,1898.00,94.90,3701.10
ORD000060,SKU000092,3,593.82,0.00,1781.46
ORD000061,SKU000142,2,1264.47,101.16,2427.78
ORD000061,SKU000161,3,229.33,11.47,676.52
ORD000061,SKU000215,2,560.50,44.84,1076.16
ORD000062,SKU000095,3,1103.40,55.17,3255.03
ORD000063,SKU000224,1,1434.98,43.05,1391.93
ORD000063,SKU000238,1,1002.56,80.20,922.36
ORD000063,SKU000181,4,757.86,22.74,3008.70
ORD000063,SKU000089,4,872.47,0.00,3489.88
ORD000064,SKU000090,3,604.26,30.21,1782.57
ORD000064,SKU000007,2,614.56,0.00,1229.12
ORD000065,SKU000032,3,515.64,15.47,1531.45
ORD000065,SKU000033,1,533.46,0.00,533.46
ORD000066,SKU000116,3,132.39,3.97,393.20
ORD000066,SKU000098,3,585.10,29.26,1726.04
ORD000066,SKU000088,2,1898.00,0.00,3796.00
ORD000066,SKU000104,3,934.38,46.72,2756.42
ORD000066,SKU000222,4,1076.90,0.00,4307.60
ORD000067,SKU000040,2,1173.46,0.00,2346.92
ORD000068,SKU000093,4,1142.61,34.28,4536.16
ORD000068,SKU000179,1,519.97,0.00,519.97
ORD000068,SKU000213,1,344.58,27.57,317.01
ORD000069,SKU000180,2,152.83,7.64,298.02
ORD000070,SKU000028,3,1324.73,66.24,3907.95
ORD000070,SKU000121,1,1218.18,0.00,1218.18
ORD000070,SKU000137,1,951.04,47.55,903.49
ORD000070,SKU000107,4,1434.31,0.00,5737.24
ORD000071,SKU000198,1,81.28,0.00,81.28
ORD000071,SKU000041,2,803.27,0.00,1606.54
ORD000071,SKU000012,3,510.87,25.54,1507.07
ORD000071,SKU000050,1,187.28,14.98,172.30
ORD000072,SKU000053,4,640.96,0.00,2563.84
ORD000072,SKU000151,2,332.71,0.00,665.42
ORD000073,SKU000133,3,1376.23,68.81,4059.88
ORD000073,SKU000131,1,1147.19,57.36,1089.83
ORD000073,SKU000230,4,340.66,17.03,1345.61
ORD000073,SKU000094,1,28.32,0.85,27.47
ORD000074,SKU000154,4,453.74,22.69,1792.27
ORD000074,SKU000209,2,469.21,14.08,924.34
ORD000074,SKU000147,4,430.30,34.42,1686.78
ORD000075,SKU000032,2,515.64,15.47,1015.81
ORD000075,SKU000100,2,763.22,38.16,1488.28
ORD000076,SKU000045,3,188.51,9.43,556.10
ORD000076,SKU000142,2,1264.47,101.16,2427.78
ORD000076,SKU000034,1,1160.13,58.01,1102.12
ORD000076,SKU000011,4,359.63,17.98,1420.54
ORD000077,SKU000117,4,1116.73,55.84,4411.08
ORD000077,SKU000213,2,344.58,17.23,671.93
ORD000078,SKU000122,2,588.39,0.00,1176.78
ORD000078,SKU000037,4,151.75,4.55,602.45
