order_number,carrier,tracking_number,status,shipped_at,delivered_at,cost
ORD000007,LocalCourier,TRK-ORD000007,delivered,2025-12-22T12:22:57+00:00,2025-12-24T07:22:57+00:00,11.83
ORD000018,FedEx,TRK-ORD000018,delivered,2026-01-21T05:47:57+00:00,2026-01-27T06:47:57+00:00,20.37
ORD000019,BlueDart,TRK-ORD000019,delivered,2026-05-28T18:19:09+00:00,2026-06-02T15:19:09+00:00,19.20
ORD000025,FedEx,TRK-ORD000025,delivered,2025-05-17T19:51:49+00:00,2025-05-20T09:51:49+00:00,17.77
ORD000033,LocalCourier,TRK-ORD000033,delivered,2025-01-27T14:01:45+00:00,2025-01-29T15:01:45+00:00,3.84
ORD000036,LocalCourier,TRK-ORD000036,cancelled,2025-03-28T01:37:12+00:00,,18.51
ORD000041,BlueDart,TRK-ORD000041,in_transit,2026-08-28T01:49:08+00:00,,17.99
ORD000044,LocalCourier,TRK-ORD000044,delivered,2025-03-11T12:49:34+00:00,2025-03-15T15:49:34+00:00,4.74
ORD000048,LocalCourier,TRK-ORD000048,in_transit,2025-06-02T18:51:40+00:00,,10.80
ORD000051,FedEx,TRK-ORD000051,delivered,2025-05-31T03:48:16+00:00,2025-06-06T15:48:16+00:00,20.17
ORD000061,UPS,TRK-ORD000061,delivered,2025-12-06T22:17:50+00:00,2025-12-11T11:17:50+00:00,7.31
ORD000063,LocalCourier,TRK-ORD000063,in_transit,2026-01-17T22:31:33+00:00,,19.73
ORD000071,FedEx,TRK-ORD000071,in_transit,2026-06-19T14:54:13+00:00,,12.55
ORD000072,UPS,TRK-ORD000072,in_transit,2025-12-18T13:45:01+00:00,,19.99
ORD000083,UPS,TRK-ORD000083,delivered,2026-06-23T09:43:45+00:00,2026-06-28T17:43:45+00:00,17.34
ORD000091,LocalCourier,TRK-ORD000091,in_transit,2025-07-04T10:46:59+00:00,,8.05
ORD000095,DHL,TRK-ORD000095,delivered,2026-01-22T17:53:18+00:00,2026-01-26T22:53:18+00:00,8.34
ORD000100,BlueDart,TRK-ORD000100,in_transit,2025-11-27T10:27:40+00:00,,13.70
ORD000109,UPS,TRK-ORD000109,delivered,2026-05-25T05:02:51+00:00,2026-05-29T21:02:51+00:00,8.85
ORD000115,BlueDart,TRK-ORD000115,in_transit,2025-05-05T09:39:21+00:00,,20.16
